"","id","season","k","fl","year","cave","date","av_mid_dat","days","day_index","id_chr","id_ori","year_ori","cave_ori","first","s2","cave_season","cs_index","cave_k_season","cave_k","temp"
"22",8,"august",9,111,5,10,2016-08-18,2016-08-21,-3,"1","052696","052696",2016,"C20",3,1,"10_1","8_10_9","10_9_1","10,9",5.2925
"23",8,"august",9,112,5,10,2016-08-23,2016-08-21,2,"2","052696","052696",2016,"C20",3,1,"10_1","8_10_9","10_9_1","10,9",5.2925
"24",9,"june",4,102,3,15,2014-06-30,2014-06-16,14,"1","052697","052697",2014,"C25",4,2,"15_2","9_15_4","15_4_2","15,4",5.6325
"25",10,"june",4,112,3,15,2014-06-30,2014-06-16,14,"1","052698","052698",2014,"C25",4,2,"15_2","10_15_4","15_4_2","15,4",5.6325
"26",10,"august",5,112,3,15,2014-08-19,2014-08-21,-2,"1","052698","052698",2014,"C25",4,1,"15_1","10_15_5","15_5_1","15,5",NA
"27",10,"august",5,112,3,15,2014-08-23,2014-08-21,2,"2","052698","052698",2014,"C25",4,1,"15_1","10_15_5","15_5_1","15,5",NA
"28",11,"august",11,110,6,20,2017-08-16,2017-08-21,-5,"1","052699","052699",2017,"C7",2,1,"20_1","11_20_11","20_11_1","20,11",5.935
"29",11,"august",11,110,6,20,2017-08-23,2017-08-21,2,"2","052699","052699",2017,"C7",2,1,"20_1","11_20_11","20_11_1","20,11",5.935
"30",11,"june",2,46,2,20,2013-06-21,2013-06-16,5,"1","052699","052699",2013,"C7",2,2,"20_2","11_20_2","20_2_2","20,2",NA
"31",11,"june",4,71,3,20,2014-06-30,2014-06-16,14,"1","052699","052699",2014,"C7",2,2,"20_2","11_20_4","20_4_2","20,4",NA
"32",11,"august",5,72,3,20,2014-08-23,2014-08-21,2,"1","052699","052699",2014,"C7",2,1,"20_1","11_20_5","20_5_1","20,5",NA
"33",11,"august",9,102,5,20,2016-08-17,2016-08-21,-4,"1","052699","052699",2016,"C7",2,1,"20_1","11_20_9","20_9_1","20,9",NA
"34",11,"august",9,102,5,20,2016-08-24,2016-08-21,3,"2","052699","052699",2016,"C7",2,1,"20_1","11_20_9","20_9_1","20,9",NA
"35",12,"june",4,65,3,15,2014-06-30,2014-06-16,14,"1","052700","052700",2014,"C25",4,2,"15_2","12_15_4","15_4_2","15,4",5.6325
"36",12,"august",9,98,5,15,2016-08-17,2016-08-21,-4,"1","052700","052700",2016,"C25",4,1,"15_1","12_15_9","15_9_1","15,9",6.495
"37",13,"june",2,52,2,18,2013-06-20,2013-06-16,4,"1","052701","052701",2013,"C5",2,2,"18_2","13_18_2","18_2_2","18,2",2.325
"38",13,"june",4,67,3,18,2014-06-29,2014-06-16,13,"1","052701","052701",2014,"C5",2,2,"18_2","13_18_4","18_4_2","18,4",4.7275
"39",13,"august",7,95,4,18,2015-08-25,2015-08-21,4,"1","052701","052701",2015,"C5",2,1,"18_1","13_18_7","18_7_1","18,7",5.71
"40",14,"june",4,109,3,15,2014-06-30,2014-06-16,14,"1","052703","052703",2014,"C25",4,2,"15_2","14_15_4","15_4_2","15,4",5.6325
"41",14,"august",5,109,3,15,2014-08-19,2014-08-21,-2,"1","052703","052703",2014,"C25",4,1,"15_1","14_15_5","15_5_1","15,5",NA
"42",14,"august",5,109,3,15,2014-08-23,2014-08-21,2,"2","052703","052703",2014,"C25",4,1,"15_1","14_15_5","15_5_1","15,5",NA
"43",15,"june",4,116,3,20,2014-06-30,2014-06-16,14,"1","052704","052704",2014,"C7",4,2,"20_2","15_20_4","20_4_2","20,4",NA
"44",16,"june",4,111,3,2,2014-06-30,2014-06-16,14,"1","052705","052705",2014,"C10",4,2,"2_2","16_2_4","2_4_2","2,4",4.6475
"45",17,"june",4,115,3,15,2014-06-30,2014-06-16,14,"1","052706","052706",2014,"C25",4,2,"15_2","17_15_4","15_4_2","15,4",5.6325
"46",17,"august",5,115,3,15,2014-08-23,2014-08-21,2,"1","052706","052706",2014,"C25",4,1,"15_1","17_15_5","15_5_1","15,5",NA
"47",17,"june",6,114,4,15,2015-06-10,2015-06-16,-6,"1","052706","052706",2015,"C25",4,2,"15_2","17_15_6","15_6_2","15,6",5.6805
"48",17,"august",7,115,4,15,2015-08-26,2015-08-21,5,"1","052706","052706",2015,"C25",4,1,"15_1","17_15_7","15_7_1","15,7",6.17
"49",18,"june",4,126,3,10,2014-07-01,2014-06-16,15,"1","052708","052708",2014,"C20",4,2,"10_2","18_10_4","10_4_2","10,4",NA
"50",19,"august",1,51,1,15,2012-08-23,2012-08-21,2,"1","052709","052709",2012,"C25",1,1,"15_1","19_15_1","15_1_1","15,1",NA
"51",19,"august",3,65,2,15,2013-08-14,2013-08-21,-7,"1","052709","052709",2013,"C25",1,1,"15_1","19_15_3","15_3_1","15,3",6.495
"52",19,"june",4,72,3,15,2014-06-30,2014-06-16,14,"1","052709","052709",2014,"C25",1,2,"15_2","19_15_4","15_4_2","15,4",5.6325
"53",19,"august",5,75,3,15,2014-08-19,2014-08-21,-2,"1","052709","052709",2014,"C25",1,1,"15_1","19_15_5","15_5_1","15,5",NA
"54",19,"june",8,95,5,15,2016-06-21,2016-06-16,5,"1","052709","052709",2016,"C25",1,2,"15_2","19_15_8","15_8_2","15,8",5.345
"55",19,"august",9,97,5,15,2016-08-17,2016-08-21,-4,"1","052709","052709",2016,"C25",1,1,"15_1","19_15_9","15_9_1","15,9",6.495
"56",20,"june",4,101,3,17,2014-07-02,2014-06-16,16,"1","052710","052710",2014,"C27",4,2,"17_2","20_17_4","17_4_2","17,4",NA
"57",21,"june",4,118,3,11,2014-07-01,2014-06-16,15,"1","052711","052711",2014,"C21",4,2,"11_2","21_11_4","11_4_2","11,4",3.945
"58",21,"august",5,121,3,11,2014-08-21,2014-08-21,0,"1","052711","052711",2014,"C21",4,1,"11_1","21_11_5","11_5_1","11,5",7.2295
"59",21,"august",7,127,4,11,2015-08-20,2015-08-21,-1,"1","052711","052711",2015,"C21",4,1,"11_1","21_11_7","11_7_1","11,7",4.93
"60",22,"june",4,94,3,15,2014-06-30,2014-06-16,14,"1","052712","052712",2014,"C25",4,2,"15_2","22_15_4","15_4_2","15,4",5.6325
"61",22,"august",9,118,5,15,2016-08-17,2016-08-21,-4,"1","052712","052712",2016,"C25",4,1,"15_1","22_15_9","15_9_1","15,9",6.495
"62",22,"august",9,117,5,15,2016-08-24,2016-08-21,3,"2","052712","052712",2016,"C25",4,1,"15_1","22_15_9","15_9_1","15,9",6.495
"63",23,"june",4,110,3,2,2014-06-30,2014-06-16,14,"1","052714","052714",2014,"C10",4,2,"2_2","23_2_4","2_4_2","2,4",4.6475
"64",24,"june",4,115,3,15,2014-06-30,2014-06-16,14,"1","052715","052715",2014,"C25",4,2,"15_2","24_15_4","15_4_2","15,4",5.6325
"65",24,"june",8,120,5,15,2016-06-21,2016-06-16,5,"1","052715","052715",2016,"C25",4,2,"15_2","24_15_8","15_8_2","15,8",5.345
"66",25,"june",4,75,3,15,2014-06-30,2014-06-16,14,"1","052716","052716",2014,"C25",4,2,"15_2","25_15_4","15_4_2","15,4",5.6325
"67",26,"august",11,113,6,3,2017-08-15,2017-08-21,-6,"1","052720","052720",2017,"C11",4,1,"3_1","26_3_11","3_11_1","3,11",6.97975
"68",26,"june",4,72,3,3,2014-06-29,2014-06-16,13,"1","052720","052720",2014,"C11",4,2,"3_2","26_3_4","3_4_2","3,4",3.865
"69",26,"august",7,90,4,3,2015-08-25,2015-08-21,4,"1","052720","052720",2015,"C11",4,1,"3_1","26_3_7","3_7_1","3,7",NA
"70",26,"june",8,96,5,3,2016-06-06,2016-06-16,-10,"1","052720","052720",2016,"C11",4,2,"3_2","26_3_8","3_8_2","3,8",3.604125
"71",27,"june",4,126,3,10,2014-07-01,2014-06-16,15,"1","052724","052724",2014,"C20",4,2,"10_2","27_10_4","10_4_2","10,4",NA
"72",27,"june",6,125,4,10,2015-06-11,2015-06-16,-5,"1","052724","052724",2015,"C20",4,2,"10_2","27_10_6","10_6_2","10,6",NA
"73",28,"june",4,66,3,18,2014-06-29,2014-06-16,13,"1","052727","052727",2014,"C5",4,2,"18_2","28_18_4","18_4_2","18,4",4.7275
"74",29,"june",12,145,7,17,2018-06-07,2018-06-16,-9,"1","052729","052729",2018,"C27",4,2,"17_2","29_17_12","17_12_2","17,12",5.45
"75",29,"june",4,104,3,17,2014-07-02,2014-06-16,16,"1","052729","052729",2014,"C27",4,2,"17_2","29_17_4","17_4_2","17,4",NA
"76",29,"august",5,105,3,17,2014-08-21,2014-08-21,0,"1","052729","052729",2014,"C27",4,1,"17_1","29_17_5","17_5_1","17,5",NA
"77",30,"june",4,110,3,4,2014-06-30,2014-06-16,14,"1","052732","052732",2014,"C12",4,2,"4_2","30_4_4","4_4_2","4,4",5.295
"78",30,"august",9,126,5,4,2016-08-22,2016-08-21,1,"1","052732","052732",2016,"C12",4,1,"4_1","30_4_9","4_9_1","4,9",6.471
"79",31,"june",4,92,3,11,2014-07-01,2014-06-16,15,"1","052733","052733",2014,"C21",4,2,"11_2","31_11_4","11_4_2","11,4",3.945
"80",31,"august",7,107,4,11,2015-08-26,2015-08-21,5,"1","052733","052733",2015,"C21",4,1,"11_1","31_11_7","11_7_1","11,7",4.93
"81",32,"june",4,84,3,2,2014-06-30,2014-06-16,14,"1","052734","052734",2014,"C10",4,2,"2_2","32_2_4","2_4_2","2,4",4.6475
"82",33,"june",4,81,3,20,2014-06-30,2014-06-16,14,"1","052735","052735",2014,"C7",4,2,"20_2","33_20_4","20_4_2","20,4",NA
"83",33,"august",7,99,4,15,2015-08-19,2015-08-21,-2,"1","052735","052735",2015,"C25",4,1,"15_1","33_15_7","15_7_1","15,7",6.17
"84",33,"august",9,103,5,15,2016-08-17,2016-08-21,-4,"1","052735","052735",2016,"C25",4,1,"15_1","33_15_9","15_9_1","15,9",6.495
"85",34,"august",11,124,6,15,2017-08-16,2017-08-21,-5,"1","052736","052736",2017,"C25",4,1,"15_1","34_15_11","15_11_1","15,11",6.62
"86",34,"august",11,125,6,15,2017-08-23,2017-08-21,2,"2","052736","052736",2017,"C25",4,1,"15_1","34_15_11","15_11_1","15,11",6.62
"87",34,"june",4,72,3,15,2014-06-30,2014-06-16,14,"1","052736","052736",2014,"C25",4,2,"15_2","34_15_4","15_4_2","15,4",5.6325
"88",34,"june",8,104,5,15,2016-06-21,2016-06-16,5,"1","052736","052736",2016,"C25",4,2,"15_2","34_15_8","15_8_2","15,8",5.345
"89",35,"june",4,105,3,15,2014-06-30,2014-06-16,14,"1","052737","052737",2014,"C25",4,2,"15_2","35_15_4","15_4_2","15,4",5.6325
"90",36,"june",4,106,3,15,2014-06-30,2014-06-16,14,"1","052739","052739",2014,"C25",4,2,"15_2","36_15_4","15_4_2","15,4",5.6325
"91",37,"june",4,104,3,13,2014-07-01,2014-06-16,15,"1","052740","052740",2014,"C23",4,2,"13_2","37_13_4","13_4_2","13,4",4.445
"92",37,"august",5,104,3,13,2014-08-23,2014-08-21,2,"1","052740","052740",2014,"C23",4,1,"13_1","37_13_5","13_5_1","13,5",NA
"93",38,"june",4,86,3,15,2014-06-30,2014-06-16,14,"1","052741","052741",2014,"C25",4,2,"15_2","38_15_4","15_4_2","15,4",5.6325
"94",38,"june",8,98,5,15,2016-06-08,2016-06-16,-8,"1","052741","052741",2016,"C25",4,2,"15_2","38_15_8","15_8_2","15,8",5.345
"95",38,"august",9,105,5,15,2016-08-24,2016-08-21,3,"1","052741","052741",2016,"C25",4,1,"15_1","38_15_9","15_9_1","15,9",6.495
"96",39,"june",4,128,3,5,2014-07-02,2014-06-16,16,"1","052742","052742",2014,"C17",4,2,"5_2","39_5_4","5_4_2","5,4",5.6575
"97",40,"august",11,91,6,15,2017-08-16,2017-08-21,-5,"1","052745","052745",2017,"C25",4,1,"15_1","40_15_11","15_11_1","15,11",6.62
"98",40,"august",13,99,7,15,2018-08-22,2018-08-21,1,"1","052745","052745",2018,"C25",4,1,"15_1","40_15_13","15_13_1","15,13",6.6235
"99",40,"june",14,100,8,15,2019-06-05,2019-06-16,-11,"1","052745","052745",2019,"C25",4,2,"15_2","40_15_14","15_14_2","15,14",5.01125
"100",40,"june",4,75,3,15,2014-06-30,2014-06-16,14,"1","052745","052745",2014,"C25",4,2,"15_2","40_15_4","15_4_2","15,4",5.6325
"101",40,"june",8,89,5,15,2016-06-08,2016-06-16,-8,"1","052745","052745",2016,"C25",4,2,"15_2","40_15_8","15_8_2","15,8",5.345
"102",40,"june",8,91,5,15,2016-06-21,2016-06-16,5,"2","052745","052745",2016,"C25",4,2,"15_2","40_15_8","15_8_2","15,8",5.345
"103",41,"june",4,124,3,2,2014-06-30,2014-06-16,14,"1","052746","052746",2014,"C10",4,2,"2_2","41_2_4","2_4_2","2,4",4.6475
"104",42,"june",4,114,3,20,2014-06-30,2014-06-16,14,"1","052747","052747",2014,"C7",4,2,"20_2","42_20_4","20_4_2","20,4",NA
"105",42,"august",5,114,3,15,2014-08-23,2014-08-21,2,"1","052747","052747",2014,"C25",4,1,"15_1","42_15_5","15_5_1","15,5",NA
"106",43,"june",4,84,3,2,2014-06-30,2014-06-16,14,"1","052748","052748",2014,"C10",4,2,"2_2","43_2_4","2_4_2","2,4",4.6475
"107",44,"august",11,101,6,20,2017-08-16,2017-08-21,-5,"1","052749","052749",2017,"C7",3,1,"20_1","44_20_11","20_11_1","20,11",5.935
"108",44,"august",11,101,6,20,2017-08-23,2017-08-21,2,"2","052749","052749",2017,"C7",3,1,"20_1","44_20_11","20_11_1","20,11",5.935
"109",44,"august",13,109,7,15,2018-08-15,2018-08-21,-6,"1","052749","052749",2018,"C25",3,1,"15_1","44_15_13","15_13_1","15,13",6.6235
"110",44,"august",15,112,8,20,2019-08-21,2019-08-21,0,"1","052749","052749",2019,"C7",3,1,"20_1","44_20_15","20_15_1","20,15",5.45
"111",44,"august",3,59,2,15,2013-08-14,2013-08-21,-7,"1","052749","052749",2013,"C25",3,1,"15_1","44_15_3","15_3_1","15,3",6.495
"112",44,"june",4,74,3,15,2014-06-30,2014-06-16,14,"1","052749","052749",2014,"C25",3,2,"15_2","44_15_4","15_4_2","15,4",5.6325
"113",44,"august",7,90,4,20,2015-08-26,2015-08-21,5,"1","052749","052749",2015,"C7",3,1,"20_1","44_20_7","20_7_1","20,7",5.37275
"114",44,"august",9,100,5,20,2016-08-17,2016-08-21,-4,"1","052749","052749",2016,"C7",3,1,"20_1","44_20_9","20_9_1","20,9",NA
"115",45,"june",4,74,3,20,2014-06-30,2014-06-16,14,"1","052750","052750",2014,"C7",4,2,"20_2","45_20_4","20_4_2","20,4",NA
"116",45,"june",8,97,5,20,2016-06-07,2016-06-16,-9,"1","052750","052750",2016,"C7",4,2,"20_2","45_20_8","20_8_2","20,8",3.9975
"117",46,"june",12,146,7,8,2018-06-21,2018-06-16,5,"1","052751","052751",2018,"C19",4,2,"8_2","46_8_12","8_12_2","8,12",NA
"118",46,"june",4,105,3,8,2014-07-01,2014-06-16,15,"1","052751","052751",2014,"C19",4,2,"8_2","46_8_4","8_4_2","8,4",5.785
"119",47,"june",4,136,3,14,2014-07-01,2014-06-16,15,"1","052754","052754",2014,"C24",4,2,"14_2","47_14_4","14_4_2","14,4",6.37
"120",48,"june",4,125,3,13,2014-07-01,2014-06-16,15,"1","052755","052755",2014,"C23",4,2,"13_2","48_13_4","13_4_2","13,4",4.445
"121",49,"june",4,104,3,15,2014-06-30,2014-06-16,14,"1","052759","052759",2014,"C25",4,2,"15_2","49_15_4","15_4_2","15,4",5.6325
"122",49,"august",7,107,4,15,2015-08-26,2015-08-21,5,"1","052759","052759",2015,"C25",4,1,"15_1","49_15_7","15_7_1","15,7",6.17
"123",49,"june",8,109,5,15,2016-06-21,2016-06-16,5,"1","052759","052759",2016,"C25",4,2,"15_2","49_15_8","15_8_2","15,8",5.345
"124",49,"august",9,112,5,15,2016-08-17,2016-08-21,-4,"1","052759","052759",2016,"C25",4,1,"15_1","49_15_9","15_9_1","15,9",6.495
"125",50,"june",4,108,3,14,2014-07-01,2014-06-16,15,"1","052760","052760",2014,"C24",4,2,"14_2","50_14_4","14_4_2","14,4",6.37
"126",51,"june",4,90,3,2,2014-06-30,2014-06-16,14,"1","052761","052761",2014,"C10",4,2,"2_2","51_2_4","2_4_2","2,4",4.6475
"127",52,"august",5,86,3,18,2014-08-18,2014-08-21,-3,"1","052768","052768",2014,"C5",5,1,"18_1","52_18_5","18_5_1","18,5",NA
"128",52,"june",8,96,5,18,2016-06-22,2016-06-16,6,"1","052768","052768",2016,"C5",5,2,"18_2","52_18_8","18_8_2","18,8",4.05
"129",53,"august",11,110,6,18,2017-08-15,2017-08-21,-6,"1","052769","052769",2017,"C5",5,1,"18_1","53_18_11","18_11_1","18,11",6.75
"130",53,"june",12,112,7,18,2018-06-05,2018-06-16,-11,"1","052769","052769",2018,"C5",5,2,"18_2","53_18_12","18_12_2","18,12",NA
"131",53,"june",12,111,7,18,2018-06-19,2018-06-16,3,"2","052769","052769",2018,"C5",5,2,"18_2","53_18_12","18_12_2","18,12",NA
"132",53,"august",5,72,3,18,2014-08-18,2014-08-21,-3,"1","052769","052769",2014,"C5",5,1,"18_1","53_18_5","18_5_1","18,5",NA
"133",53,"june",8,99,5,18,2016-06-22,2016-06-16,6,"1","052769","052769",2016,"C5",5,2,"18_2","53_18_8","18_8_2","18,8",4.05
"134",53,"august",9,107,5,18,2016-08-22,2016-08-21,1,"1","052769","052769",2016,"C5",5,1,"18_1","53_18_9","18_9_1","18,9",6.6975
"135",54,"august",5,98,3,20,2014-08-19,2014-08-21,-2,"1","052770","052770",2014,"C7",5,1,"20_1","54_20_5","20_5_1","20,5",NA
"136",55,"august",5,78,3,18,2014-08-18,2014-08-21,-3,"1","052772","052772",2014,"C5",5,1,"18_1","55_18_5","18_5_1","18,5",NA
"137",55,"august",7,96,4,18,2015-08-18,2015-08-21,-3,"1","052772","052772",2015,"C5",5,1,"18_1","55_18_7","18_7_1","18,7",5.71
"138",55,"june",8,110,5,18,2016-06-22,2016-06-16,6,"1","052772","052772",2016,"C5",5,2,"18_2","55_18_8","18_8_2","18,8",4.05
"139",56,"august",5,113,3,3,2014-08-18,2014-08-21,-3,"1","052773","052773",2014,"C11",5,1,"3_1","56_3_5","3_5_1","3,5",7.20425
"140",57,"august",11,114,6,3,2017-08-15,2017-08-21,-6,"1","052778","052778",2017,"C11",5,1,"3_1","57_3_11","3_11_1","3,11",6.97975
"141",57,"august",11,115,6,3,2017-08-22,2017-08-21,1,"2","052778","052778",2017,"C11",5,1,"3_1","57_3_11","3_11_1","3,11",6.97975
"142",57,"june",12,120,7,3,2018-06-19,2018-06-16,3,"1","052778","052778",2018,"C11",5,2,"3_2","57_3_12","3_12_2","3,12",3.578
"143",57,"august",5,79,3,3,2014-08-18,2014-08-21,-3,"1","052778","052778",2014,"C11",5,1,"3_1","57_3_5","3_5_1","3,5",7.20425
"144",57,"august",7,87,4,3,2015-08-18,2015-08-21,-3,"1","052778","052778",2015,"C11",5,1,"3_1","57_3_7","3_7_1","3,7",NA
"145",57,"august",9,99,5,3,2016-08-22,2016-08-21,1,"1","052778","052778",2016,"C11",5,1,"3_1","57_3_9","3_9_1","3,9",7.4055
"146",58,"august",5,131,3,18,2014-08-18,2014-08-21,-3,"1","052781","052781",2014,"C5",5,1,"18_1","58_18_5","18_5_1","18,5",NA
"147",58,"august",7,131,4,18,2015-08-18,2015-08-21,-3,"1","052781","052781",2015,"C5",5,1,"18_1","58_18_7","18_7_1","18,7",5.71
"148",59,"august",13,121,7,18,2018-08-14,2018-08-21,-7,"1","052783","052783",2018,"C5",5,1,"18_1","59_18_13","18_13_1","18,13",6.674
"149",59,"august",5,79,3,18,2014-08-18,2014-08-21,-3,"1","052783","052783",2014,"C5",5,1,"18_1","59_18_5","18_5_1","18,5",NA
"150",59,"august",7,90,4,18,2015-08-18,2015-08-21,-3,"1","052783","052783",2015,"C5",5,1,"18_1","59_18_7","18_7_1","18,7",5.71
"151",59,"august",9,103,5,18,2016-08-16,2016-08-21,-5,"1","052783","052783",2016,"C5",5,1,"18_1","59_18_9","18_9_1","18,9",6.6975
"152",59,"august",9,107,5,18,2016-08-22,2016-08-21,1,"2","052783","052783",2016,"C5",5,1,"18_1","59_18_9","18_9_1","18,9",6.6975
"153",60,"june",4,136,3,18,2014-06-29,2014-06-16,13,"1","052822","052822",2014,"C5",4,2,"18_2","60_18_4","18_4_2","18,4",4.7275
"154",60,"june",8,144,5,18,2016-06-22,2016-06-16,6,"1","052822","052822",2016,"C5",4,2,"18_2","60_18_8","18_8_2","18,8",4.05
"155",61,"june",4,106,3,3,2014-06-29,2014-06-16,13,"1","052826","052826",2014,"C11",4,2,"3_2","61_3_4","3_4_2","3,4",3.865
"156",62,"june",12,118,7,16,2018-06-20,2018-06-16,4,"1","052836","052836",2018,"C26",4,2,"16_2","62_16_12","16_12_2","16,12",2.517
"157",62,"august",13,128,7,16,2018-08-15,2018-08-21,-6,"1","052836","052836",2018,"C26",4,1,"16_1","62_16_13","16_13_1","16,13",7.33025
"158",62,"august",13,130,7,16,2018-08-22,2018-08-21,1,"2","052836","052836",2018,"C26",4,1,"16_1","62_16_13","16_13_1","16,13",7.33025
"159",62,"june",4,83,3,19,2014-06-29,2014-06-16,13,"1","052836","052836",2014,"C6",4,2,"19_2","62_19_4","19_4_2","19,4",5.14
"160",62,"june",6,92,4,19,2015-06-22,2015-06-16,6,"1","052836","052836",2015,"C6",4,2,"19_2","62_19_6","19_6_2","19,6",NA
"161",62,"august",7,102,4,19,2015-08-18,2015-08-21,-3,"1","052836","052836",2015,"C6",4,1,"19_1","62_19_7","19_7_1","19,7",6.01
"162",62,"june",8,104,5,19,2016-06-06,2016-06-16,-10,"1","052836","052836",2016,"C6",4,2,"19_2","62_19_8","19_8_2","19,8",2.5975
"163",63,"june",4,73,3,3,2014-06-29,2014-06-16,13,"1","052840","052840",2014,"C11",4,2,"3_2","63_3_4","3_4_2","3,4",3.865
"164",63,"june",6,83,4,3,2015-06-09,2015-06-16,-7,"1","052840","052840",2015,"C11",4,2,"3_2","63_3_6","3_6_2","3,6",4.024
"165",63,"june",8,98,5,3,2016-06-22,2016-06-16,6,"1","052840","052840",2016,"C11",4,2,"3_2","63_3_8","3_8_2","3,8",3.604125
"166",63,"august",9,102,5,3,2016-08-16,2016-08-21,-5,"1","052840","052840",2016,"C11",4,1,"3_1","63_3_9","3_9_1","3,9",7.4055
"167",63,"august",9,103,5,3,2016-08-22,2016-08-21,1,"2","052840","052840",2016,"C11",4,1,"3_1","63_3_9","3_9_1","3,9",7.4055
"168",64,"august",11,98,6,19,2017-08-15,2017-08-21,-6,"1","052859","052859",2017,"C6",4,1,"19_1","64_19_11","19_11_1","19,11",7.955
"169",64,"august",11,99,6,19,2017-08-22,2017-08-21,1,"2","052859","052859",2017,"C6",4,1,"19_1","64_19_11","19_11_1","19,11",7.955
"170",64,"august",13,103,7,19,2018-08-14,2018-08-21,-7,"1","052859","052859",2018,"C6",4,1,"19_1","64_19_13","19_13_1","19,13",6.47125
"171",64,"june",14,103,8,19,2019-06-04,2019-06-16,-12,"1","052859","052859",2019,"C6",4,2,"19_2","64_19_14","19_14_2","19,14",3.3665
"172",64,"june",4,68,3,3,2014-06-29,2014-06-16,13,"1","052859","052859",2014,"C11",4,2,"3_2","64_3_4","3_4_2","3,4",3.865
"173",65,"june",4,119,3,9,2014-06-29,2014-06-16,13,"1","052868","052868",2014,"C2",4,2,"9_2","65_9_4","9_4_2","9,4",NA
"174",65,"august",5,120,3,9,2014-08-18,2014-08-21,-3,"1","052868","052868",2014,"C2",4,1,"9_1","65_9_5","9_5_1","9,5",NA
"175",65,"june",6,118,4,9,2015-06-22,2015-06-16,6,"1","052868","052868",2015,"C2",4,2,"9_2","65_9_6","9_6_2","9,6",4.8825
"176",65,"june",8,118,5,9,2016-06-21,2016-06-16,5,"1","052868","052868",2016,"C2",4,2,"9_2","65_9_8","9_8_2","9,8",4.2075
"177",66,"june",4,105,3,3,2014-06-29,2014-06-16,13,"1","052873","052873",2014,"C11",4,2,"3_2","66_3_4","3_4_2","3,4",3.865
"178",66,"august",5,105,3,3,2014-08-18,2014-08-21,-3,"1","052873","052873",2014,"C11",4,1,"3_1","66_3_5","3_5_1","3,5",7.20425
